year,Action,Adventure,Western,Fantasy,Sci-Fi,Animation,Comedy,Family,Horror,Thriller,Drama,Romance,Musical,Sport,Mystery,Biography,Crime,War,History,Music,Documentary,News
2013,51,45,1,31,30,17,75,25,30,68,121,34,5,6,13,17,41,4,5,10,10,1
2012,51,38,2,30,29,13,87,20,40,65,95,42,4,5,17,9,34,5,6,8,8,
2008,48,41,2,28,26,13,84,28,23,56,119,58,5,9,20,14,35,18,15,10,9,
2007,32,29,5,25,12,11,76,20,25,55,99,55,5,9,21,18,33,13,13,12,7,
2014,72,47,4,28,33,15,68,24,21,80,131,34,7,7,28,24,39,11,8,11,11,1
2006,38,41,2,26,20,17,95,34,21,62,132,54,5,14,23,15,43,11,12,11,9,
2009,49,40,,35,38,16,99,30,34,69,137,61,4,6,33,13,40,4,6,15,5,1
2015,58,46,8,23,37,16,60,29,36,77,105,27,2,9,27,18,36,2,13,8,6,
2011,58,42,4,22,26,16,86,26,24,67,108,37,5,6,24,12,29,8,9,6,8,
2010,56,37,6,36,21,13,95,34,26,60,116,62,4,5,18,11,30,7,7,7,7,
2005,46,44,4,21,18,8,83,29,26,60,119,56,5,17,24,11,38,10,10,12,10,
2004,40,33,4,21,22,10,96,29,18,54,108,71,6,12,23,13,32,8,7,13,8,
2003,41,33,1,21,15,6,76,19,15,46,81,38,5,3,19,10,36,8,7,8,5,
2002,43,36,1,18,21,9,84,25,15,65,122,51,5,10,28,9,50,10,6,7,5,
2001,44,30,2,22,21,9,89,15,12,59,91,51,3,9,24,8,50,8,4,8,3,
2000,34,31,4,19,19,10,75,19,16,47,89,44,2,9,14,7,36,2,2,10,2,
1999,25,19,3,18,23,5,82,12,12,48,96,41,3,7,19,10,26,7,5,6,1,
1994,19,10,2,9,3,1,28,7,3,18,28,11,1,1,5,3,19,1,1,,1,
1998,29,20,3,17,15,6,65,16,9,31,82,36,5,3,14,6,26,5,4,6,,
1997,36,19,,10,21,4,41,10,9,42,60,21,2,3,18,6,30,4,3,4,1,
1992,9,4,1,5,5,1,11,4,6,10,19,11,2,2,1,2,11,1,1,2,,
2016,47,33,1,15,19,4,31,12,19,28,44,11,1,5,11,9,10,4,7,1,,
1995,24,14,1,9,6,2,25,5,6,27,39,17,1,,6,5,19,4,5,1,,
1996,23,18,,9,10,3,40,7,7,37,64,25,4,6,7,4,24,3,4,3,,
1993,13,11,1,10,6,1,15,7,4,14,28,14,,2,3,5,10,1,3,3,,
1990,10,7,3,5,7,,12,3,8,6,9,8,1,1,1,1,5,,,3,,
1989,11,9,,4,6,,12,1,6,10,13,4,,2,1,2,4,4,3,1,1,
1988,9,4,1,7,4,2,10,2,8,11,13,5,1,1,1,1,5,1,,,,
1980,5,6,2,4,4,,6,,3,2,11,4,2,2,1,5,1,2,1,2,,
1984,13,9,,5,8,,8,3,7,4,12,6,,2,1,1,4,1,3,4,,
1981,8,12,1,5,6,1,9,,7,10,8,2,,1,4,3,3,3,3,,,
1982,7,8,2,9,7,,7,2,9,6,10,2,1,,2,1,2,,1,1,,
1991,11,9,1,6,5,,13,3,2,9,17,6,1,,,1,9,1,1,4,,
1987,10,8,,9,4,1,12,4,9,13,13,3,1,,,4,5,1,2,2,,
1985,10,9,2,5,7,,8,1,8,10,11,4,,,3,1,2,1,,2,,
1983,6,7,1,3,6,,6,2,3,6,10,4,1,,1,,3,,1,1,,
1979,5,6,,,7,,3,2,2,4,7,1,2,2,1,1,3,2,,2,,
1986,7,10,,5,6,,10,,7,4,10,8,1,1,3,,3,2,1,,,
1978,3,4,,1,1,,1,1,5,5,6,3,2,,,,,2,1,2,1,
1965,1,2,1,,,1,1,2,,1,5,3,1,,,2,1,2,1,,,
1970,4,1,1,,1,,5,,,,9,2,1,,,1,,5,4,2,1,
1977,3,4,,2,7,,3,,3,3,6,3,1,,,,,2,1,1,,
1973,2,1,2,,2,,3,,1,2,4,2,,,1,1,2,,,1,,
1976,1,2,,2,1,,3,1,2,1,5,3,,2,2,,1,,,,,
1971,4,1,,2,2,,1,2,1,6,5,1,2,,,,4,,,,,
1966,1,1,1,,,,2,1,,2,2,,1,,1,1,1,,1,,,
1962,2,2,1,,1,,,,1,1,6,2,,,,1,3,2,2,,,
1940,,1,1,3,,2,,3,,1,3,1,1,,1,,,,,1,,
1964,2,1,1,1,,,3,2,,2,5,2,3,,,,,2,1,,,
1975,1,3,,1,1,,3,,,1,3,,,1,1,,1,1,1,,,
1974,1,2,1,,,,3,1,2,4,3,2,,,1,,1,,,,,
1969,2,2,3,,,,3,,,3,8,3,2,,,1,3,,,1,,
1968,,2,3,1,3,,2,2,3,,5,1,1,,3,,,,,,,
1972,1,,,,3,,2,1,1,1,5,,1,,1,,2,,1,,,
1953,,1,,,1,,,,1,1,2,1,,,,,1,1,1,,,
1963,3,6,,,,,3,,,2,4,2,,,,1,1,2,4,,,
1961,,,1,,,,1,,,1,5,2,1,1,,,1,1,,,,
1939,,1,,1,,,1,1,,,2,1,1,,,,,1,1,,,
1952,,,1,,,,1,1,,1,2,2,1,,,,1,,,,,
1967,1,1,,,,,,,1,2,1,,,,1,1,2,,1,,,
1954,1,3,,2,2,,,2,,,5,1,,,,,1,,1,,,
1948,1,2,1,,,,1,,,,1,2,1,,,,1,,,,,
1947,,1,,,,,,,,1,3,2,,,1,,1,,,,,
1937,,1,,1,,1,,1,,,1,1,1,,,,,,,,,
1936,1,1,,,,,1,1,,,1,1,,,,,,1,,,,
1960,,,,,,,1,,1,1,2,1,,,1,,,,,,,
1959,,,,,,,1,,,,2,2,,,,,,1,1,1,,
1946,,,1,1,,,,1,,,3,3,,,,,,1,,,,
1945,,,,,,,,,,1,2,2,1,,1,,,,,,,
1951,,,,,,,,1,,,3,2,1,,,1,,,1,,,
1950,,,1,,,,1,,,,,1,1,,,1,,,,,,
1949,1,,1,,,,,,,,1,1,,,,,,1,,,,
1933,,,,,,,2,,,,1,2,2,,,,,,1,,,
1955,,,,1,,,1,,,,1,1,,,1,,,,,,,
1942,,,,,,1,,1,,,2,1,,,,,,1,,,,
1943,,,,1,,,,,,,1,1,,,,,,1,,,,
1956,,1,1,,,,,,,,3,2,,,,,,,,,,
1957,,1,,,,,,,,,2,,,,,,1,1,,,,
1929,,,,,,,,,,,1,2,1,,,,1,,,,,
1938,,,,,,,1,,,,2,2,1,,,,,,,,,
1932,,,,,,,,,,,1,1,,,,,,1,,,,
1916,,,,,,,,,,,1,,,,,,,1,1,,,
1935,,,,,,,1,,,,,1,1,,,,,,,,,
1925,,,,,,,,,,,1,1,,,,,,1,,,,
1944,,,,,,,1,,,,,,1,,,,,,,,,
1941,,,,,,,,1,,,1,,,,,,,,,,,
1930,,,,,,,,,,,1,,,,,,,1,,,,
1958,,,,,,,,,,,1,1,,,,,,,,,,
1927,,,,,1,,,,,,1,,,,,,,,,,,
1934,,,,,,,1,,,,,1,,,,,,,,,,
1920,,,,,,,,,,,1,,,,,,1,,,,,
